,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,,,,,,0.189249176056,,,,,0.0557839848449,,,,,0.0152324782359,,,,,,,,,,,,,,,,0.037145015546,,,,,,,,,0.0129720602343,,,,0.261788715868,,,,,0.0105834906557,,,,,,,,,,,,0.171641709049,,,,0.0332947602689,,,,0.0146276077358,0.0217282448703,,,,,,,,,,0.0245031292301,,,,,,,,,0.0137456990759,,,0.0386713147041,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122236745016,,,,,,,,,,,,,,,,,,,,,,,,,,0.671738244248,,,,,,,,,,,,
2,,,,,,,,,,,0.0158425533768,,,,,,,,,,,0.017551012093,,,,,,,,,,0.0101843886048,,0.0300661247976,,,,,,,0.0162669404199,,0.0203897449387,,0.201528874652,,,,,0.101927272165,,0.123103695691,,,,,,,,,0.0291722475732,0.170980761164,,,,0.0212801766247,,,0.0298485846748,,0.0298484151662,,,,,,,,,,,,0.0779102021673,,,,,,,0.0234069942469,,,,,,,,,,
3,,,,,,,,,,,0.0763155476662,,,,,,,,,,,0.0234271855617,,,,,,,,,,0.0215747004622,,,,,,,,,,,0.0351423958343,,0.22454496018,,,,,0.245726881637,,,,,,,,,,,,0.133486858984,,,,0.021938676809,,,,,0.0166989836483,,,,,,0.0520949822305,,,,0.0284063089158,,,,,,,,,,,,0.0256546349353,,,,,,,
4,,,0.0118563148916,,,,,,,,0.0132119612957,,,,,,,,,,,0.340276732939,,,,,,,,,,0.0304068015092,,,,,,,,,,,0.0280389062624,,0.22231540403,,,,,0.0255572650662,,,,,,,,,,,,0.161399171329,,,,0.0146782482412,,,,,,,,,,,,,0.0273056545038,,,0.0179302406155,,,,,,,,0.0215945541326,,,,,,,,,,0.0142897836055
5,,,,,,,,,,,0.0856589927222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013795266794,,0.252735495694,,,,,0.072581490552,,,,,,,,,,,0.319385719988,0.141146524993,,,0.0103444829675,,,,,,,,,,,,,,,,0.0265180716751,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,0.0282746852522,,,,,,,,,,,,,,,,,,,,,0.0331830684956,,,,,,,,,,,,,0.240833415147,,,,,0.0515225412616,,,,,,,,,0.287242130704,,,0.178525944652,,,,0.0312515448323,,,0.0117358115853,,0.0286516854063,,,,,,,,,,,,,,,,,,,0.0155496207056,,,,,,,,,,
7,,,,,,,,,,,0.057383454347,,,,,,,,,,,,,,,,,,,,,0.0192281340684,,,,,,,,,,,,,0.35443010329,,,,,,,,,,,,,,,,,0.0904169505543,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363254860436,,,,,,,,,,
8,,,,,0.0117348417283,,,,,,0.0456714251806,,,,,,,0.0110472192574,,,,0.0262396765477,,,,,,,,,,0.0373014895545,,,,,,,0.140757871347,,,,,,0.287894874418,,,,,,,,,,,,,,,,,0.164978411375,,,,0.019908579099,,,,,0.0437732064904,,,,,,,,,,,0.0112324038872,,,,,,,,,,,0.0989251543417,,,,,,,
9,,,,,,,,,,,0.0476928890366,,,,,,,,,,,0.186050508217,,,,,,,,,,0.0382930319289,,,,0.0134925247181,,,,,0.0184283790187,0.0112107917238,,,0.256835646939,,,,,,,,,,,,,,,,0.0229534850733,0.184555870163,,,,,,,,,0.0306366894596,,,,,,,,,,0.0140665381947,,,,,,,,,,,,0.0811899443496,,,,,,,
